League,Source file,Division,Team,Home,Arena,0,1,2,3,4,5,6,7,8,9,10,Conference,City,Centre,Joined
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Truro Bearcats,1997,"Truro, Nova Scotia",Rath Eastlink Community Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Valley Wildcats,1986,"Berwick, Nova Scotia",Kings Mutual Century Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Yarmouth Mariners,1976,"Yarmouth, Nova Scotia",Mariners Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,EastLink North Division,EastLink North Division,EastLink North Division,EastLink North Division,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Team,Joined,Centre,Arena,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Campbellton Tigers,1996,"Campbellton, New Brunswick",Memorial Civic Center,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Edmundston Blizzard,1983,"Edmundston, New Brunswick",Jean-Daigle Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Chaleur Lightning,2025,"Bathurst, New Brunswick",K. C. Irving Regional Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Grand Falls Rapids,2003,"Grand Falls, New Brunswick",E. & P. Senechal Center,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Miramichi Timberwolves,2000,"Miramichi, New Brunswick",Miramichi Civic Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,West Kent Steamers,2004,"Bouctouche, New Brunswick",JK Irving Centre,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,EastLink South Division,EastLink South Division,EastLink South Division,EastLink South Division,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Team,Joined,Centre,Arena,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Amherst Ramblers,1967,"Amherst, Nova Scotia",Amherst Stadium,,,,,,,,,,,
Maritime Junior A Hockey League,Maritime_Junior_A_Hockey_League.html,,,,,Pictou County Crushers,1967,"New Glasgow, Nova Scotia",Pictou County Wellness Centre,,,,,,,,,,,
