League,Source file,Team,Centre,Home arena,Year Joined,Founded,1st Season,0,1,2,First season,3,4,5,Senior Teams,Formed
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Orr Division,Orr Division,,Orr Division,Orr Division,Orr Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Caledon Golden Hawks,,,Caledon,2010,Caledon East Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Clarington Eagles,,,Bowmanville,2011,Garnet B. Rickard Recreation Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Georgina Ice,,,Keswick,1994,Georgina Ice Palace,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Little Britain Merchants,,,Little Britain,1978,Little Britain Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Port Perry Lumberjacks,,,Port Perry,1972,Scugog Community Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Schomberg Cougars,,,Schomberg,1969,Trisan Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Uxbridge Bruins,,,Uxbridge,1975,Uxbridge Arena and Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Tod Division,Tod Division,,Tod Division,Tod Division,Tod Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Amherstview Jets,,,Amherstview,1989,W J Henderson Recreation Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Frankford Huskies,,,Frankford,2021,Frankford Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Lakefield Chiefs,,,Lakefield,1980,Lakefield-Smith Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Napanee Raiders,,,Napanee,1989,Strathcona Paper Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Picton Pirates,,,Picton,1989,Prince Edward Community Centre,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Port Hope Panthers,,,Port Hope,2004,Jack Burger Sports Complex,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Trent Hills Thunder,,,Campbellford,1992,Campbellford-Seymour Arena,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,West Conference,West Conference,,West Conference,West Conference,West Conference,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Stobbs Division,Stobbs Division,,Stobbs Division,Stobbs Division,Stobbs Division,,
Provincial Junior Hockey League,Provincial_Junior_Hockey_League.html,,,,,,,,Team,,,Centre,Founded,Arena,,
