League,Source file,0,1,2,3,4,5,6,Division,Team,Joined,Location,Arena,Conference
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Stonewall Jets,Veterans Memorial Sports Complex,2001,1,0,,,,,,,,
Manitoba Major Junior Hockey League,Manitoba_Major_Junior_Hockey_League.html,Transcona Railer Express,Ed Golding Memorial Arena,2012,1,1,,,,,,,,
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Connecticut Jr. Rangers,2017.0,"Stamford, Connecticut",Chelsea Piers Connecticut,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Jersey Hitmen,2017.0,"Wayne, New Jersey",Ice Vault Arena,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Mercer Chiefs,2022.0,"Hamilton, New Jersey",Ice Land Skating Center,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,P.A.L. Jr. Islanders,2017.0,"Hauppauge, New York",Northwell Health Ice Center,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Rockets Hockey Club,2017.0,"Bridgewater, New Jersey",Bridgewater Sports Arena,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,West Chester Wolves,2024.0,"West Chester, Pennsylvania",PNY Sports Arena,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Wilkes-Barre/Scranton Knights,2022.0,"Pittston, Pennsylvania",Revolution Ice Center,Atlantic
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Connecticut RoughRiders,2026.0,"Norwalk, Connecticut",SoNo Ice House,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,CT Chiefs North,2025.0,"Biddeford, Maine",Biddeford Ice Arena,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,NY Dynamo,2024.0,"Clifton Park, New York",Capital Ice Arena,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Red Bank Generals,2026.0,"Red Bank, New Jersey",Red Bank Armory,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Springfield Pics,2025.0,"West Springfield, Massachusetts",Olympia Ice Center,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Utica Jr. Comets,2017.0,"Utica, New York",Utica University Nexus Center,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Universel Sherbrooke,2025.0,"Jay, Vermont",The Rinks at Vermont,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Syracuse Lightning,2026.0,"Baldwinsville, New York",Three Rivers Athletic Complex,Colonial
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Boston Dogs,2024.0,"Canton, Massachusetts",Canton Ice Center,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Boston Jr. Rangers,2024.0,"Tewksbury, Massachusetts",Breakaway Ice Center,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Boston Junior Bruins,2025.0,"Marlborough, Massachusetts",New England Sports Center,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Islanders Hockey Club,2017.0,"Tyngsborough, Massachusetts",Skate 3 Ice Arena,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,New England Wolves,2025.0,"Laconia, New Hampshire",Merrill Fay Arena,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Northern Cyclones,2017.0,"Hudson, New Hampshire",Cyclones Arena,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,South Shore Kings,2017.0,"Foxboro, Massachusetts",Foxboro Sports Center,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,,Worcester Jr. Railers,2024.0,"Worcester, Massachusetts",Fidelity Bank Worcester Ice Center,Metropolitan
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Chicago Union,2026.0,"Chicago, Illinois",Canton Ice Center,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Columbus Mavericks,2026.0,"Lewis Center, Ohio",OhioHealth Chiller North,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Fort Wayne Spacemen,2026.0,"Fort Wayne, Indiana",PSM Icehouse,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Metro Jets,2026.0,"Mount Clemens, Michigan",Mount Clemens Ice Arena,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Red River Spartans,2026.0,"Clarksville, Tennessee",F&M Bank Arena,Midwest
National Collegiate Development Conference,National_Collegiate_Development_Conference.html,,,,,,,,Great Lakes,Toledo Cherokee,2026.0,"Toledo, Ohio",Team Toledo Ice House,Midwest
